grupo_id,ym,yhat,yhat_lower,yhat_upper,metodo
10,2025-09,0.0,0.0,0.0,prophet
10,2025-10,0.0,0.0,0.0,prophet
10,2025-11,0.0,0.0,0.0,prophet
10,2025-12,0.0,0.0,0.0,prophet
10,2026-01,0.2058,0.0,1.0291,prophet
10,2026-02,1.2569,0.3825,2.0716,prophet
10,2026-03,5.8467,5.0028,6.676,prophet
10,2026-04,0.0,0.0,0.7939,prophet
10,2026-05,0.0,0.0,0.0,prophet
10,2026-06,0.0,0.0,0.8014,prophet
11,2025-07,5478.0591,4851.6402,6114.6596,prophet
11,2025-08,5312.6216,4673.2863,5966.9635,prophet
11,2025-09,3892.6981,3256.6693,4583.6733,prophet
11,2025-10,5208.6142,4554.2187,5870.098,prophet
11,2025-11,4941.0886,4255.0663,5529.3438,prophet
11,2025-12,3938.6982,3294.1523,4586.1103,prophet
11,2026-01,3782.5812,3112.2625,4445.2577,prophet
11,2026-02,3818.7539,3215.0739,4477.276,prophet
11,2026-03,4256.4012,3592.4858,4944.2114,prophet
11,2026-04,4429.2362,3772.797,5046.2926,prophet
11,2026-05,5033.2098,4397.3353,5683.4057,prophet
11,2026-06,4664.7378,4036.0247,5360.4692,prophet
12,2025-07,209.5865,162.0853,258.0727,prophet
12,2025-08,191.2193,146.6715,239.7596,prophet
12,2025-09,171.0487,121.2413,220.0542,prophet
12,2025-10,237.7803,189.2814,282.3004,prophet
12,2025-11,214.4873,164.4814,258.931,prophet
12,2025-12,198.7374,147.6403,244.8212,prophet
12,2026-01,135.2085,86.9828,184.2842,prophet
12,2026-02,148.209,100.1765,195.2954,prophet
12,2026-03,179.0893,132.5142,228.6829,prophet
12,2026-04,146.5006,102.6901,194.8641,prophet
12,2026-05,196.0661,148.5213,246.2632,prophet
12,2026-06,192.1064,145.8959,239.6953,prophet
13,2025-07,199.1092,139.6948,256.9119,prophet
13,2025-08,225.4393,169.2226,282.7033,prophet
13,2025-09,196.2451,139.8611,249.3343,prophet
13,2025-10,223.1924,166.7483,281.3189,prophet
13,2025-11,225.7571,169.574,284.9316,prophet
13,2025-12,129.2402,72.9192,186.5024,prophet
13,2026-01,151.0106,93.6199,204.5387,prophet
13,2026-02,210.9491,156.0394,266.8265,prophet
13,2026-03,223.1539,167.1033,274.0837,prophet
13,2026-04,241.9628,184.3334,301.5354,prophet
13,2026-05,196.7443,140.697,253.5938,prophet
13,2026-06,172.364,115.1684,232.4073,prophet
14,2025-07,2984.2977,2399.6336,3601.5204,prophet
14,2025-08,2903.4284,2287.2888,3458.4236,prophet
14,2025-09,3337.6311,2751.6668,3922.0549,prophet
14,2025-10,2648.7614,2060.8886,3272.7047,prophet
14,2025-11,3512.9497,2903.687,4078.9001,prophet
14,2025-12,2952.1803,2370.8774,3525.1823,prophet
14,2026-01,1789.8633,1173.7448,2373.0717,prophet
14,2026-02,2430.6491,1830.2781,3012.9028,prophet
14,2026-03,2879.0607,2310.6693,3454.1672,prophet
14,2026-04,2784.7166,2172.1863,3397.2285,prophet
14,2026-05,3017.7937,2405.3907,3589.3011,prophet
14,2026-06,2929.2456,2329.5525,3522.371,prophet
15,2025-07,394.7624,46.5746,761.4438,prophet
15,2025-08,1196.3397,845.8548,1561.6978,prophet
15,2025-09,1947.881,1597.2935,2310.6885,prophet
15,2025-10,1779.2998,1432.4509,2133.5399,prophet
15,2025-11,1348.7959,990.8768,1703.5559,prophet
15,2025-12,516.7558,150.6974,877.5708,prophet
15,2026-01,465.8121,61.3512,815.1597,prophet
15,2026-02,651.0667,295.4313,1015.8147,prophet
15,2026-03,570.626,189.4801,910.1789,prophet
15,2026-04,578.3589,221.2597,934.1552,prophet
15,2026-05,698.6074,325.6603,1068.0693,prophet
15,2026-06,624.7172,274.2068,993.8532,prophet
16,2025-07,510.9519,348.6717,679.6059,prophet
16,2025-08,520.0609,352.3693,690.4029,prophet
16,2025-09,392.0696,234.6504,562.3021,prophet
16,2025-10,401.087,237.8637,564.1017,prophet
16,2025-11,444.2842,267.8109,611.029,prophet
16,2025-12,397.7734,235.5635,548.0856,prophet
16,2026-01,171.3467,6.972,334.1826,prophet
16,2026-02,426.7879,259.5401,592.0815,prophet
16,2026-03,334.8952,169.1206,492.4493,prophet
16,2026-04,371.5669,187.4517,524.4119,prophet
16,2026-05,643.7071,466.1673,805.2264,prophet
16,2026-06,428.0705,255.6389,594.0837,prophet
17,2025-07,0.0,0.0,0.0,prophet
17,2025-08,0.0,0.0,0.0,prophet
17,2025-09,0.0,0.0,0.0,prophet
17,2025-10,0.0,0.0,0.0,prophet
17,2025-11,0.0,0.0,0.0,prophet
17,2025-12,0.0,0.0,0.0,prophet
17,2026-01,0.0,0.0,0.0,prophet
17,2026-02,0.0,0.0,10.1543,prophet
17,2026-03,0.0,0.0,0.0,prophet
17,2026-04,0.0,0.0,31.6935,prophet
17,2026-05,0.0,0.0,0.0,prophet
17,2026-06,0.0,0.0,0.0,prophet
18,2025-07,12.1354,7.6564,16.4213,prophet
18,2025-08,7.0297,2.6127,11.5468,prophet
18,2025-09,12.7639,8.357,17.1423,prophet
18,2025-10,11.895,7.6009,15.9183,prophet
18,2025-11,11.4454,7.226,16.0511,prophet
18,2025-12,4.4153,0.1161,8.7952,prophet
18,2026-01,7.0146,2.7111,11.5524,prophet
18,2026-02,8.5499,4.08,12.9265,prophet
18,2026-03,5.5949,1.0642,9.8917,prophet
18,2026-04,9.3572,5.1613,13.9439,prophet
18,2026-05,10.8236,6.4309,15.2143,prophet
18,2026-06,13.7171,9.0219,18.1726,prophet
19,2025-07,34.0,27.2,40.8,fallback
19,2025-08,121.0,96.8,145.2,fallback
19,2026-05,36.0,28.8,43.2,fallback
19,2026-06,61.0,48.8,73.2,fallback
19,2025-09,67.0,53.6,80.4,fallback
19,2025-10,29.0,23.2,34.8,fallback
19,2025-11,62.0,49.6,74.4,fallback
19,2025-12,28.5,22.8,34.2,fallback
19,2026-01,9.5,7.6,11.4,fallback
19,2026-02,15.5,12.4,18.6,fallback
19,2026-03,42.5,34.0,51.0,fallback
19,2026-04,20.5,16.4,24.6,fallback
