grupo_id,ym,yhat,yhat_lower,yhat_upper,metodo
10,2025-09,0.0,0.0,0.0,prophet
10,2025-10,0.0,0.0,0.0,prophet
10,2025-11,0.0,0.0,0.0,prophet
10,2025-12,0.0,0.0,0.0187,prophet
10,2026-01,0.2058,0.0,0.9936,prophet
10,2026-02,1.2569,0.3925,2.0894,prophet
10,2026-03,5.8467,5.0166,6.6906,prophet
10,2026-04,0.0,0.0,0.8088,prophet
10,2026-05,0.0,0.0,0.0,prophet
10,2026-06,0.0,0.0,0.822,prophet
11,2025-07,5478.0591,4831.0896,6180.2996,prophet
11,2025-08,5312.6216,4650.1962,5951.5423,prophet
11,2025-09,3892.6981,3230.8575,4529.3741,prophet
11,2025-10,5208.6142,4570.0187,5800.6503,prophet
11,2025-11,4941.0886,4276.1595,5578.5371,prophet
11,2025-12,3938.6982,3293.581,4598.3083,prophet
11,2026-01,3782.5812,3142.1504,4373.9312,prophet
11,2026-02,3818.7539,3204.2917,4421.6117,prophet
11,2026-03,4256.4012,3617.7941,4888.9845,prophet
11,2026-04,4429.2362,3846.6587,5077.8435,prophet
11,2026-05,5033.2098,4370.7441,5635.7602,prophet
11,2026-06,4664.7378,4021.8379,5307.5462,prophet
12,2025-07,209.5865,160.2496,257.7296,prophet
12,2025-08,191.2193,139.9979,235.9749,prophet
12,2025-09,171.0487,124.4726,217.8229,prophet
12,2025-10,237.7803,190.5411,284.8991,prophet
12,2025-11,214.4873,166.679,265.5558,prophet
12,2025-12,198.7374,147.6921,247.9438,prophet
12,2026-01,135.2085,85.7091,184.1296,prophet
12,2026-02,148.209,96.9691,194.5274,prophet
12,2026-03,179.0893,130.9394,228.4313,prophet
12,2026-04,146.5006,94.3651,191.4535,prophet
12,2026-05,196.0661,149.868,241.6438,prophet
12,2026-06,192.1064,145.0713,241.8784,prophet
13,2025-07,199.1092,143.3939,255.4974,prophet
13,2025-08,225.4393,170.4626,279.9014,prophet
13,2025-09,196.2451,141.5265,249.9229,prophet
13,2025-10,223.1924,164.9662,278.883,prophet
13,2025-11,225.7571,170.1936,283.5173,prophet
13,2025-12,129.2402,72.0318,188.7055,prophet
13,2026-01,151.0106,94.19,208.7713,prophet
13,2026-02,210.9491,157.707,270.5226,prophet
13,2026-03,223.1539,167.2796,281.107,prophet
13,2026-04,241.9628,184.5154,296.2391,prophet
13,2026-05,196.7443,138.6996,248.9658,prophet
13,2026-06,172.364,113.2457,225.4925,prophet
14,2025-07,2984.2977,2357.2604,3582.7215,prophet
14,2025-08,2903.4284,2288.2095,3510.7906,prophet
14,2025-09,3337.6311,2713.0496,3924.1173,prophet
14,2025-10,2648.7614,2055.6531,3210.9158,prophet
14,2025-11,3512.9497,2924.1935,4129.4866,prophet
14,2025-12,2952.1803,2293.6556,3560.2999,prophet
14,2026-01,1789.8633,1173.2288,2359.652,prophet
14,2026-02,2430.6491,1842.5255,3018.2995,prophet
14,2026-03,2879.0607,2317.697,3469.8805,prophet
14,2026-04,2784.7166,2132.5707,3393.8449,prophet
14,2026-05,3017.7937,2445.7718,3663.2758,prophet
14,2026-06,2929.2456,2311.8048,3543.2431,prophet
15,2025-07,394.7624,52.1446,752.4619,prophet
15,2025-08,1196.3397,842.1124,1521.5765,prophet
15,2025-09,1947.881,1578.813,2300.8932,prophet
15,2025-10,1779.2998,1431.3379,2144.0076,prophet
15,2025-11,1348.7959,977.5549,1707.1601,prophet
15,2025-12,516.7558,142.9863,898.3045,prophet
15,2026-01,465.8121,94.8537,819.1709,prophet
15,2026-02,651.0667,288.5065,998.0454,prophet
15,2026-03,570.626,214.2196,959.0897,prophet
15,2026-04,578.3589,211.9084,939.9974,prophet
15,2026-05,698.6074,338.3446,1054.6419,prophet
15,2026-06,624.7172,265.9169,972.4877,prophet
16,2025-07,510.9519,352.7981,694.3742,prophet
16,2025-08,520.0609,340.9709,684.5158,prophet
16,2025-09,392.0696,224.5927,558.1976,prophet
16,2025-10,401.087,225.1926,568.5967,prophet
16,2025-11,444.2842,279.6316,621.3508,prophet
16,2025-12,397.7734,246.9185,561.3289,prophet
16,2026-01,171.3467,0.3493,350.8219,prophet
16,2026-02,426.7879,268.8547,593.159,prophet
16,2026-03,334.8952,167.9797,501.0973,prophet
16,2026-04,371.5669,203.1692,530.8789,prophet
16,2026-05,643.7071,477.5334,812.1712,prophet
16,2026-06,428.0705,259.3247,586.958,prophet
17,2025-07,0.0,0.0,0.0,prophet
17,2025-08,0.0,0.0,0.0,prophet
17,2025-09,0.0,0.0,0.0,prophet
17,2025-10,0.0,0.0,0.0,prophet
17,2025-11,0.0,0.0,0.0,prophet
17,2025-12,0.0,0.0,0.0,prophet
17,2026-01,0.0,0.0,0.0,prophet
17,2026-02,0.0,0.0,12.5139,prophet
17,2026-03,0.0,0.0,0.0,prophet
17,2026-04,0.0,0.0,29.7691,prophet
17,2026-05,0.0,0.0,0.0,prophet
17,2026-06,0.0,0.0,0.0,prophet
18,2025-07,12.1354,7.7966,16.61,prophet
18,2025-08,7.0297,2.5861,11.3146,prophet
18,2025-09,12.7639,8.5784,17.2587,prophet
18,2025-10,11.895,7.7034,16.6034,prophet
18,2025-11,11.4454,6.8372,15.7346,prophet
18,2025-12,4.4153,0.0288,8.8474,prophet
18,2026-01,7.0146,2.445,11.4168,prophet
18,2026-02,8.5499,4.0879,13.0228,prophet
18,2026-03,5.5949,1.2409,10.1323,prophet
18,2026-04,9.3572,5.3474,13.8147,prophet
18,2026-05,10.8236,6.6931,15.2094,prophet
18,2026-06,13.7171,9.3861,18.0577,prophet
19,2025-07,34.0,27.2,40.8,fallback
19,2025-08,121.0,96.8,145.2,fallback
19,2026-05,36.0,28.8,43.2,fallback
19,2026-06,61.0,48.8,73.2,fallback
19,2025-09,67.0,53.6,80.4,fallback
19,2025-10,29.0,23.2,34.8,fallback
19,2025-11,62.0,49.6,74.4,fallback
19,2025-12,28.5,22.8,34.2,fallback
19,2026-01,9.5,7.6,11.4,fallback
19,2026-02,15.5,12.4,18.6,fallback
19,2026-03,42.5,34.0,51.0,fallback
19,2026-04,20.5,16.4,24.6,fallback
