grupo_id,ym,yhat,yhat_lower,yhat_upper,metodo
10,2026-09,0.0,0.0,0.0,prophet
10,2026-10,0.0,0.0,0.0,prophet
10,2026-11,0.0,0.0,0.0,prophet
10,2026-12,0.0,0.0,0.0,prophet
10,2027-01,0.0,0.0,0.0,prophet
10,2027-02,0.0,0.0,0.0,prophet
10,2027-03,8.5912,7.7321,9.3938,prophet
10,2027-04,0.0,0.0,0.6004,prophet
10,2027-05,0.0,0.0,0.0,prophet
10,2027-06,0.0,0.0,0.0,prophet
11,2026-07,5288.511,4547.8644,5980.4021,prophet
11,2026-08,5092.1694,4385.0688,5792.7351,prophet
11,2026-09,4275.5834,3576.407,4930.4545,prophet
11,2026-10,4923.1185,4235.3659,5665.7847,prophet
11,2026-11,4835.2998,4135.8804,5509.7667,prophet
11,2026-12,4038.3721,3349.2571,4752.3173,prophet
11,2027-01,3989.9495,3339.6441,4741.7193,prophet
11,2027-02,3683.5727,2990.3524,4422.3908,prophet
11,2027-03,4322.8174,3597.5867,5035.5722,prophet
11,2027-04,4271.9694,3498.686,4950.1744,prophet
11,2027-05,4323.1955,3635.2816,5061.7077,prophet
11,2027-06,5058.9781,4317.264,5747.1015,prophet
12,2026-07,170.9365,122.9076,215.3283,prophet
12,2026-08,130.3126,83.1351,176.5445,prophet
12,2026-09,144.9468,99.3886,187.8148,prophet
12,2026-10,190.4506,147.3249,237.3236,prophet
12,2026-11,205.7829,156.4714,250.4841,prophet
12,2026-12,188.232,140.5182,232.1787,prophet
12,2027-01,84.7948,41.4595,129.6333,prophet
12,2027-02,124.4563,79.2911,169.8539,prophet
12,2027-03,166.6476,121.7124,214.5473,prophet
12,2027-04,123.8422,80.4648,171.1489,prophet
12,2027-05,130.1564,88.2813,177.9676,prophet
12,2027-06,192.8804,147.3492,238.9206,prophet
13,2026-07,199.0737,142.8482,258.0708,prophet
13,2026-08,233.8675,179.3955,288.1268,prophet
13,2026-09,165.1779,111.2665,220.2404,prophet
13,2026-10,161.1459,102.1884,215.7113,prophet
13,2026-11,168.9007,110.729,225.4669,prophet
13,2026-12,110.3584,49.1631,162.572,prophet
13,2027-01,109.1016,49.5083,166.5007,prophet
13,2027-02,171.8379,111.3532,230.0048,prophet
13,2027-03,175.2375,117.5781,235.0794,prophet
13,2027-04,229.4713,173.4869,288.4759,prophet
13,2027-05,109.4125,51.6409,166.2262,prophet
13,2027-06,86.7793,26.382,144.017,prophet
14,2026-07,3021.9715,2332.3529,3649.8591,prophet
14,2026-08,3080.9524,2419.0704,3743.413,prophet
14,2026-09,2943.1969,2334.761,3584.0335,prophet
14,2026-10,3277.6477,2674.3804,3958.8181,prophet
14,2026-11,2704.5553,2091.8648,3326.5455,prophet
14,2026-12,2777.8561,2142.7049,3414.879,prophet
14,2027-01,2044.5616,1400.4025,2694.3188,prophet
14,2027-02,2422.5577,1791.7323,3034.7163,prophet
14,2027-03,2878.4431,2249.7941,3503.1483,prophet
14,2027-04,2696.3358,2091.9174,3358.5654,prophet
14,2027-05,2747.7402,2106.8276,3399.585,prophet
14,2027-06,3214.9079,2554.9178,3875.5751,prophet
15,2026-07,474.2691,125.8195,853.0804,prophet
15,2026-08,1010.9375,645.2456,1389.4491,prophet
15,2026-09,1283.5337,876.166,1646.7971,prophet
15,2026-10,1816.3071,1465.1805,2176.9648,prophet
15,2026-11,1248.0547,893.2808,1628.5357,prophet
15,2026-12,624.7318,263.4026,1008.0651,prophet
15,2027-01,335.4224,0.0,703.9014,prophet
15,2027-02,357.0909,0.0,721.2834,prophet
15,2027-03,418.5429,41.1545,801.9138,prophet
15,2027-04,434.6605,55.666,802.2068,prophet
15,2027-05,455.9797,109.9972,834.5291,prophet
15,2027-06,667.1903,289.8045,1046.9847,prophet
16,2026-07,394.0099,223.3016,564.6373,prophet
16,2026-08,473.7123,312.2367,634.4305,prophet
16,2026-09,250.1028,73.3313,409.6289,prophet
16,2026-10,363.8816,199.0146,535.6293,prophet
16,2026-11,323.694,149.3505,494.0777,prophet
16,2026-12,317.9027,145.0172,495.3161,prophet
16,2027-01,7.6133,0.0,169.7088,prophet
16,2027-02,188.7475,21.7471,360.2589,prophet
16,2027-03,369.6719,216.153,524.9649,prophet
16,2027-04,238.1258,72.2375,400.4992,prophet
16,2027-05,520.2344,357.7992,688.8332,prophet
16,2027-06,125.867,0.0,291.3349,prophet
17,2026-07,0.0,0.0,0.0,prophet
17,2026-08,0.0,0.0,0.0,prophet
17,2026-09,0.0,0.0,0.0,prophet
17,2026-10,0.0,0.0,0.0,prophet
17,2026-11,0.0,0.0,0.0,prophet
17,2026-12,0.0,0.0,0.0,prophet
17,2027-01,0.0,0.0,0.0,prophet
17,2027-02,0.0,0.0,0.0,prophet
17,2027-03,0.0,0.0,0.0,prophet
17,2027-04,0.0,0.0,7.7682,prophet
17,2027-05,0.0,0.0,0.0,prophet
17,2027-06,0.0,0.0,0.0,prophet
18,2026-07,9.9528,4.2414,15.711,prophet
18,2026-08,9.0331,2.5253,14.7352,prophet
18,2026-09,13.2336,7.699,19.177,prophet
18,2026-10,12.2305,6.9681,18.3993,prophet
18,2026-11,14.37,8.6349,20.0626,prophet
18,2026-12,11.5405,5.7585,16.8833,prophet
18,2027-01,15.1836,9.4663,20.9477,prophet
18,2027-02,9.7462,4.2929,15.8849,prophet
18,2027-03,11.2339,5.6907,17.1126,prophet
18,2027-04,15.6944,9.6797,21.7429,prophet
18,2027-05,18.1513,12.2965,23.5013,prophet
18,2027-06,19.8391,14.1603,25.7347,prophet
19,2026-07,34.0,27.2,40.8,fallback
19,2026-08,121.0,96.8,145.2,fallback
19,2027-05,36.0,28.8,43.2,fallback
19,2027-06,61.0,48.8,73.2,fallback
19,2026-09,67.0,53.6,80.4,fallback
19,2026-10,29.0,23.2,34.8,fallback
19,2026-11,62.0,49.6,74.4,fallback
19,2026-12,28.5,22.8,34.2,fallback
19,2027-01,9.5,7.6,11.4,fallback
19,2027-02,15.5,12.4,18.6,fallback
19,2027-03,42.5,34.0,51.0,fallback
19,2027-04,20.5,16.4,24.6,fallback
20,2026-07,27.1883,14.4474,38.7495,prophet
20,2026-08,19.7916,7.6528,32.6955,prophet
20,2026-09,15.4819,2.8372,27.58,prophet
20,2026-10,16.8491,4.0721,29.7647,prophet
20,2026-11,12.3099,0.4467,24.579,prophet
20,2026-12,11.621,0.0,24.8816,prophet
20,2027-01,13.6529,1.0201,26.3511,prophet
20,2027-02,16.0891,3.7826,27.8326,prophet
20,2027-03,11.1302,0.0,23.9087,prophet
20,2027-04,60.292,47.6374,72.3668,prophet
20,2027-05,0.0,0.0,9.9511,prophet
20,2027-06,34.6382,21.7053,46.113,prophet
21,2026-07,10.4679,7.1433,13.7781,prophet
21,2026-08,16.9554,13.7266,20.4169,prophet
21,2026-09,26.3708,22.9069,29.6211,prophet
21,2026-10,5.2941,2.1104,8.7106,prophet
21,2026-11,26.9434,23.4966,30.5127,prophet
21,2026-12,0.0,0.0,0.0,prophet
21,2027-01,17.6916,14.29,21.0072,prophet
21,2027-02,22.906,19.673,26.2896,prophet
21,2027-03,6.653,3.3997,10.0248,prophet
21,2027-04,40.4641,36.8198,43.9167,prophet
21,2027-05,2.4134,0.0,6.0574,prophet
21,2027-06,26.9152,23.56,30.388,prophet
22,2026-07,66.3333,53.0667,79.6,fallback
22,2026-08,66.3333,53.0667,79.6,fallback
22,2027-05,66.3333,53.0667,79.6,fallback
22,2027-06,66.3333,53.0667,79.6,fallback
22,2026-09,23.0,18.4,27.6,fallback
22,2026-10,156.0,124.8,187.2,fallback
22,2026-11,20.0,16.0,24.0,fallback
22,2026-12,66.3333,53.0667,79.6,fallback
22,2027-01,66.3333,53.0667,79.6,fallback
22,2027-02,66.3333,53.0667,79.6,fallback
22,2027-03,66.3333,53.0667,79.6,fallback
22,2027-04,66.3333,53.0667,79.6,fallback
23,2026-07,1.0,0.8,1.2,fallback
23,2026-08,1.0,0.8,1.2,fallback
23,2027-05,3.0,2.4,3.6,fallback
23,2027-06,1.0,0.8,1.2,fallback
23,2026-09,1.0,0.8,1.2,fallback
23,2026-10,4.0,3.2,4.8,fallback
23,2026-11,5.0,4.0,6.0,fallback
23,2026-12,1.0,0.8,1.2,fallback
23,2027-01,0.0,0.0,0.0,fallback
23,2027-02,1.0,0.8,1.2,fallback
23,2027-03,0.0,0.0,0.0,fallback
23,2027-04,1.0,0.8,1.2,fallback
24,2026-07,181.5,145.2,217.8,fallback
24,2026-08,181.5,145.2,217.8,fallback
24,2027-05,181.5,145.2,217.8,fallback
24,2027-06,181.5,145.2,217.8,fallback
24,2026-09,275.0,220.0,330.0,fallback
24,2026-10,0.0,0.0,0.0,fallback
24,2026-11,0.0,0.0,0.0,fallback
24,2026-12,451.0,360.8,541.2,fallback
24,2027-01,181.5,145.2,217.8,fallback
24,2027-02,181.5,145.2,217.8,fallback
24,2027-03,181.5,145.2,217.8,fallback
24,2027-04,181.5,145.2,217.8,fallback
