clave,valor
ultimo_actual,2026-06
forecast_0,2026-07
forecast_1,2026-08
forecast_2,2026-09
forecast_3,2026-10
forecast_4,2026-11
forecast_5,2026-12
forecast_6,2027-01
forecast_7,2027-02
forecast_8,2027-03
forecast_9,2027-04
forecast_10,2027-05
forecast_11,2027-06
